Latitude: 40.0065708, Longitude: -105.26323359999999, Altitude: 1633.468
Latitude: 40.0065715, Longitude: -105.26323339999999, Altitude: 1633.503
Latitude: 40.006572, Longitude: -105.26323359999999, Altitude: 1633.6200000000001
Latitude: 40.0065727, Longitude: -105.26323409999999, Altitude: 1633.63
Latitude: 40.006573499999995, Longitude: -105.2632345, Altitude: 1633.692
Latitude: 40.0065734, Longitude: -105.2632354, Altitude: 1633.79
Latitude: 40.0065734, Longitude: -105.2632361, Altitude: 1633.925
Latitude: 40.0065738, Longitude: -105.2632368, Altitude: 1633.962
Latitude: 40.0065739, Longitude: -105.26323719999999, Altitude: 1634.002
Latitude: 40.0065738, Longitude: -105.263238, Altitude: 1634.3220000000001
Latitude: 40.0065739, Longitude: -105.2632388, Altitude: 1634.314
Latitude: 40.0065741, Longitude: -105.2632398, Altitude: 1634.493
Latitude: 40.0065746, Longitude: -105.2632414, Altitude: 1634.651
Latitude: 40.0065753, Longitude: -105.26324249999999, Altitude: 1634.624
Latitude: 40.0065756, Longitude: -105.2632434, Altitude: 1634.689
Latitude: 40.0065761, Longitude: -105.263244, Altitude: 1634.759
Latitude: 40.0065767, Longitude: -105.26324489999999, Altitude: 1635.049
Latitude: 40.0065781, Longitude: -105.26324579999999, Altitude: 1635.094
Latitude: 40.006578499999996, Longitude: -105.2632459, Altitude: 1635.69
Latitude: 40.0065788, Longitude: -105.2632466, Altitude: 1636.127
Latitude: 40.0065795, Longitude: -105.2632477, Altitude: 1636.265
Latitude: 40.00658, Longitude: -105.2632488, Altitude: 1636.492
Latitude: 40.0065806, Longitude: -105.2632503, Altitude: 1636.553
Latitude: 40.0065811, Longitude: -105.2632515, Altitude: 1636.616
Latitude: 40.0065817, Longitude: -105.26325299999999, Altitude: 1636.719
Latitude: 40.0065824, Longitude: -105.2632553, Altitude: 1636.9750000000001
Latitude: 40.006582699999996, Longitude: -105.2632572, Altitude: 1637.262
Latitude: 40.0065834, Longitude: -105.26325899999999, Altitude: 1637.229
Latitude: 40.0065836, Longitude: -105.2632603, Altitude: 1637.45
Latitude: 40.0065836, Longitude: -105.26326159999999, Altitude: 1637.732
Latitude: 40.006583899999995, Longitude: -105.2632622, Altitude: 1637.894
Latitude: 40.0065837, Longitude: -105.26326309999999, Altitude: 1638.146
Latitude: 40.0065837, Longitude: -105.26326499999999, Altitude: 1638.439
Latitude: 40.006584, Longitude: -105.2632665, Altitude: 1638.407
Latitude: 40.0065829, Longitude: -105.2632663, Altitude: 1639.065
Latitude: 40.0065816, Longitude: -105.26326499999999, Altitude: 1639.798
Latitude: 40.006582, Longitude: -105.2632647, Altitude: 1639.891
Latitude: 40.0065832, Longitude: -105.2632653, Altitude: 1639.617
Latitude: 40.0065832, Longitude: -105.2632661, Altitude: 1639.895
Latitude: 40.006582699999996, Longitude: -105.2632665, Altitude: 1640.094
Latitude: 40.0065825, Longitude: -105.2632661, Altitude: 1640.103
Latitude: 40.0065822, Longitude: -105.26326569999999, Altitude: 1640.342
Latitude: 40.0065814, Longitude: -105.2632639, Altitude: 1640.707
Latitude: 40.006581, Longitude: -105.26326159999999, Altitude: 1640.7160000000001
Latitude: 40.0065807, Longitude: -105.2632606, Altitude: 1640.765
Latitude: 40.00658, Longitude: -105.2632604, Altitude: 1641.074
Latitude: 40.006580899999996, Longitude: -105.26325949999999, Altitude: 1640.6670000000001
Latitude: 40.0065825, Longitude: -105.2632579, Altitude: 1640.395
Latitude: 40.0065823, Longitude: -105.26325609999999, Altitude: 1640.77
Latitude: 40.0065813, Longitude: -105.26325519999999, Altitude: 1640.997
Latitude: 40.0065807, Longitude: -105.2632546, Altitude: 1641.1970000000001
Latitude: 40.0065816, Longitude: -105.26325609999999, Altitude: 1640.691
Latitude: 40.006582099999996, Longitude: -105.26325659999999, Altitude: 1640.458
Latitude: 40.0065819, Longitude: -105.26325369999999, Altitude: 1640.521
Latitude: 40.006580899999996, Longitude: -105.26325059999999, Altitude: 1640.9660000000001
Latitude: 40.0065812, Longitude: -105.26325109999999, Altitude: 1640.853
Latitude: 40.0065807, Longitude: -105.26325179999999, Altitude: 1640.8410000000001
Latitude: 40.006581, Longitude: -105.26325089999999, Altitude: 1640.387
Latitude: 40.00658, Longitude: -105.263249, Altitude: 1640.934
Latitude: 40.0065804, Longitude: -105.2632483, Altitude: 1640.881
Latitude: 40.0065801, Longitude: -105.26324849999999, Altitude: 1641.084
Latitude: 40.006579699999996, Longitude: -105.26324849999999, Altitude: 1641.0900000000001
Latitude: 40.0065789, Longitude: -105.2632471, Altitude: 1641.692
Latitude: 40.0065777, Longitude: -105.26324749999999, Altitude: 1642.151
Latitude: 40.0065774, Longitude: -105.2632481, Altitude: 1642.135
Latitude: 40.0065756, Longitude: -105.26324509999999, Altitude: 1642.54
Latitude: 40.0065747, Longitude: -105.2632419, Altitude: 1642.462
Latitude: 40.0065741, Longitude: -105.2632402, Altitude: 1642.778
Latitude: 40.006574199999996, Longitude: -105.2632398, Altitude: 1642.654
Latitude: 40.006573599999996, Longitude: -105.2632402, Altitude: 1643.012
Latitude: 40.006574199999996, Longitude: -105.26324059999999, Altitude: 1642.78
Latitude: 40.0065744, Longitude: -105.2632412, Altitude: 1642.752
Latitude: 40.0065755, Longitude: -105.2632422, Altitude: 1641.987
Latitude: 40.006575399999996, Longitude: -105.26324249999999, Altitude: 1641.7740000000001
Latitude: 40.0065749, Longitude: -105.2632419, Altitude: 1642.047
Latitude: 40.0065744, Longitude: -105.2632422, Altitude: 1642.0230000000001
Latitude: 40.0065741, Longitude: -105.2632443, Altitude: 1641.692
Latitude: 40.0065733, Longitude: -105.2632448, Altitude: 1641.969
Latitude: 40.006572299999995, Longitude: -105.26324439999999, Altitude: 1642.375
Latitude: 40.0065726, Longitude: -105.2632445, Altitude: 1642.231
Latitude: 40.0065732, Longitude: -105.2632431, Altitude: 1641.858
Latitude: 40.0065732, Longitude: -105.2632417, Altitude: 1642.046
Latitude: 40.006574199999996, Longitude: -105.2632426, Altitude: 1641.642
Latitude: 40.0065739, Longitude: -105.2632448, Altitude: 1641.641
Latitude: 40.0065738, Longitude: -105.26324609999999, Altitude: 1641.2450000000001
Latitude: 40.0065737, Longitude: -105.26324509999999, Altitude: 1641.008
Latitude: 40.0065732, Longitude: -105.26324389999999, Altitude: 1641.2250000000001
Latitude: 40.0065737, Longitude: -105.2632438, Altitude: 1641.051
Latitude: 40.0065752, Longitude: -105.26324269999999, Altitude: 1640.489
Latitude: 40.0065762, Longitude: -105.2632412, Altitude: 1640.4180000000001
Latitude: 40.0065761, Longitude: -105.2632419, Altitude: 1640.448
Latitude: 40.0065751, Longitude: -105.2632421, Altitude: 1640.372
Latitude: 40.0065753, Longitude: -105.2632417, Altitude: 1640.169
Latitude: 40.0065753, Longitude: -105.2632422, Altitude: 1640.0620000000001
Latitude: 40.0065745, Longitude: -105.26324009999999, Altitude: 1640.178
Latitude: 40.0065749, Longitude: -105.26323909999999, Altitude: 1639.968
Latitude: 40.006575999999995, Longitude: -105.26323909999999, Altitude: 1639.936
Latitude: 40.006578, Longitude: -105.2632398, Altitude: 1639.169
Latitude: 40.0065805, Longitude: -105.2632404, Altitude: 1638.423
Latitude: 40.006580899999996, Longitude: -105.26324, Altitude: 1637.656
Latitude: 40.006585699999995, Longitude: -105.2632414, Altitude: 1637.031
Latitude: 40.006591, Longitude: -105.26324199999999, Altitude: 1636.522
Latitude: 40.006594799999995, Longitude: -105.2632431, Altitude: 1636.086
Latitude: 40.0065981, Longitude: -105.26324079999999, Altitude: 1636.3990000000001
Latitude: 40.0066051, Longitude: -105.2632414, Altitude: 1636.189
Latitude: 40.0066048, Longitude: -105.2632387, Altitude: 1637.01
Latitude: 40.0066045, Longitude: -105.26323749999999, Altitude: 1636.875
Latitude: 40.0066044, Longitude: -105.26323839999999, Altitude: 1636.553
Latitude: 40.0066053, Longitude: -105.2632399, Altitude: 1636.325
Latitude: 40.0066061, Longitude: -105.2632409, Altitude: 1635.941
Latitude: 40.0066068, Longitude: -105.2632414, Altitude: 1635.498
Latitude: 40.0066075, Longitude: -105.2632412, Altitude: 1634.78
Latitude: 40.0066073, Longitude: -105.2632407, Altitude: 1634.319
Latitude: 40.006607599999995, Longitude: -105.26324009999999, Altitude: 1633.404
Latitude: 40.0066079, Longitude: -105.2632387, Altitude: 1632.873
Latitude: 40.0066091, Longitude: -105.26323839999999, Altitude: 1632.04
Latitude: 40.006612499999996, Longitude: -105.2632515, Altitude: 1627.992
Latitude: 40.0066145, Longitude: -105.2632501, Altitude: 1626.964
Latitude: 40.0066166, Longitude: -105.2632438, Altitude: 1626.082
Latitude: 40.006615599999996, Longitude: -105.2632412, Altitude: 1626.2440000000001
Latitude: 40.006616699999995, Longitude: -105.263241, Altitude: 1625.828
Latitude: 40.0066176, Longitude: -105.26324079999999, Altitude: 1625.488
Latitude: 40.006619099999995, Longitude: -105.2632407, Altitude: 1624.891
Latitude: 40.0066212, Longitude: -105.26324029999999, Altitude: 1624.506
Latitude: 40.006623499999996, Longitude: -105.2632402, Altitude: 1624.189
Latitude: 40.0066263, Longitude: -105.26324129999999, Altitude: 1623.7150000000001
Latitude: 40.0066272, Longitude: -105.26324079999999, Altitude: 1623.303
Latitude: 40.0066279, Longitude: -105.2632399, Altitude: 1623.056
Latitude: 40.006629499999995, Longitude: -105.2632402, Altitude: 1622.8880000000001
Latitude: 40.006633, Longitude: -105.263241, Altitude: 1622.146
Latitude: 40.006638099999996, Longitude: -105.2632462, Altitude: 1619.987
Latitude: 40.0066389, Longitude: -105.2632462, Altitude: 1619.586
Latitude: 40.0066418, Longitude: -105.26324749999999, Altitude: 1618.7060000000001
Latitude: 40.0066434, Longitude: -105.26324819999999, Altitude: 1618.748
Latitude: 40.006645, Longitude: -105.2632484, Altitude: 1618.592
Latitude: 40.0066463, Longitude: -105.2632479, Altitude: 1618.854
Latitude: 40.006648299999995, Longitude: -105.2632476, Altitude: 1619.384
Latitude: 40.0066492, Longitude: -105.2632469, Altitude: 1620.14
Latitude: 40.0066491, Longitude: -105.2632453, Altitude: 1620.212
Latitude: 40.0066486, Longitude: -105.2632433, Altitude: 1620.951
Latitude: 40.006649499999995, Longitude: -105.26324439999999, Altitude: 1620.91
Latitude: 40.006651399999996, Longitude: -105.2632457, Altitude: 1620.772
Latitude: 40.0066524, Longitude: -105.2632457, Altitude: 1620.07
Latitude: 40.0066537, Longitude: -105.2632464, Altitude: 1619.905
Latitude: 40.0066554, Longitude: -105.2632493, Altitude: 1619.5520000000001
Latitude: 40.006656299999996, Longitude: -105.2632527, Altitude: 1619.314
Latitude: 40.006657499999996, Longitude: -105.26325639999999, Altitude: 1619.409
Latitude: 40.006659, Longitude: -105.263258, Altitude: 1619.107
Latitude: 40.006658, Longitude: -105.2632587, Altitude: 1619.093
Latitude: 40.0066589, Longitude: -105.26326069999999, Altitude: 1618.297
Latitude: 40.0066583, Longitude: -105.26326379999999, Altitude: 1618.406
